aid,sid,featured,first_epid,last_epid,update_anchor,n_episodes,season_fraction
A. Whitney Brown,11,TRUE,19860222,NA,FALSE,8,0.4444444444444444
A. Whitney Brown,12,TRUE,NA,NA,FALSE,20,1
A. Whitney Brown,13,TRUE,NA,NA,FALSE,13,1
A. Whitney Brown,14,TRUE,NA,NA,FALSE,20,1
A. Whitney Brown,15,TRUE,NA,NA,FALSE,20,1
A. Whitney Brown,16,TRUE,NA,NA,FALSE,20,1
Alan Zweibel,5,TRUE,19800409,NA,FALSE,5,0.25
Sasheer Zamata,39,TRUE,20140118,NA,FALSE,11,0.5238095238095238
Sasheer Zamata,40,TRUE,NA,NA,FALSE,21,1
Sasheer Zamata,41,FALSE,NA,NA,FALSE,21,1
Sasheer Zamata,42,FALSE,NA,NA,FALSE,21,1
Bowen Yang,45,TRUE,NA,NA,FALSE,18,1
Bowen Yang,46,TRUE,NA,NA,FALSE,17,1
Fred Wolf,21,TRUE,NA,NA,FALSE,20,1
Fred Wolf,22,TRUE,NA,19961019,FALSE,3,0.15
Casey Wilson,33,TRUE,20080223,NA,FALSE,8,0.6666666666666666
Casey Wilson,34,TRUE,NA,NA,FALSE,22,1
Kristen Wiig,31,TRUE,20051112,NA,FALSE,15,0.7894736842105263
Kristen Wiig,32,FALSE,NA,NA,FALSE,20,1
Kristen Wiig,33,FALSE,NA,NA,FALSE,12,1
Kristen Wiig,34,FALSE,NA,NA,FALSE,22,1
Kristen Wiig,35,FALSE,NA,NA,FALSE,22,1
Kristen Wiig,36,FALSE,NA,NA,FALSE,22,1
Kristen Wiig,37,FALSE,NA,NA,FALSE,22,1
Brooks Wheelan,39,TRUE,NA,NA,FALSE,21,1
Noel Wells,39,TRUE,NA,NA,FALSE,21,1
Patrick Weathers,6,TRUE,19801213,NA,FALSE,10,0.7692307692307693
Damon Wayans,11,TRUE,NA,19860315,FALSE,12,0.6666666666666666
Michaela Watkins,34,TRUE,20081115,NA,FALSE,15,0.6818181818181818
Nancy Walls,21,FALSE,NA,NA,FALSE,20,1
Dan Vitale,11,TRUE,NA,NA,FALSE,18,1
Melissa Villasenor,42,TRUE,NA,NA,FALSE,21,1
Melissa Villasenor,43,TRUE,NA,NA,FALSE,21,1
Melissa Villasenor,44,FALSE,NA,NA,FALSE,21,1
Melissa Villasenor,45,FALSE,NA,NA,FALSE,18,1
Melissa Villasenor,46,FALSE,NA,NA,FALSE,17,1
Danitra Vance,11,FALSE,NA,NA,FALSE,18,1
Kenan Thompson,29,TRUE,NA,NA,FALSE,20,1
Kenan Thompson,30,TRUE,NA,NA,FALSE,20,1
Kenan Thompson,31,FALSE,NA,NA,FALSE,19,1
Kenan Thompson,32,FALSE,NA,NA,FALSE,20,1
